id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,fiscal_year,sort_order,is_ttm,equity,debt_to_equity,equity_ratio
483,COALINDIA,Mar 2019,6163.0,20292,2210,104356,133021,32618,9658,3170,87576,133021,2019,201904,False,26455.0,0.08353808353808354,0.1988783725877869
484,COALINDIA,Mar 2020,6163.0,25994,6434,111430,150020,36784,8328,1973,102936,150020,2020,202004,False,32157.0,0.20008085331343098,0.21435141981069192
485,COALINDIA,Mar 2021,6163.0,30355,5884,118649,161051,42405,10490,5950,102206,161051,2021,202104,False,36518.0,0.16112602004490936,0.22674804875474228
486,COALINDIA,Mar 2022,6163.0,36980,3514,132780,179436,46677,12897,8921,110942,179436,2022,202204,False,43143.0,0.08145006142363767,0.2404367016652177
487,COALINDIA,Mar 2023,6163.0,54680,4331,156222,221396,64547,17622,7139,132087,221396,2023,202304,False,60843.0,0.07118320924346268,0.2748152631483857
488,COALINDIA,Mar 2024,6163.0,76567,6523,147217,236470,75668,18960,7110,134731,236470,2024,202404,False,82730.0,0.0788468512027076,0.34985410411468687
489,COALINDIA,Sep 2024,6163.0,90034,7816,145345,249359,83642,16129,9058,140529,249359,2024,202410,False,96197.0,0.0812499350291589,0.3857771325679041
490,DABUR,Mar 2013,174.0,1921,1151,1462,4709,1582,93,929,2105,4709,2013,201304,False,2095.0,0.5494033412887828,0.4448927585474623
491,DABUR,Mar 2014,174.0,2482,708,1948,5312,1767,22,1076,2447,5312,2014,201404,False,2656.0,0.26656626506024095,0.5
492,DABUR,Mar 2015,176.0,3178,734,2019,6106,1877,50,1813,2365,6106,2015,201504,False,3354.0,0.21884317233154443,0.5492957746478874
493,DABUR,Mar 2016,176.0,3995,805,1956,6932,1667,45,2691,2529,6932,2016,201604,False,4171.0,0.19299928074802206,0.6017022504327756
494,DABUR,Mar 2017,176.0,4671,975,1910,7732,1958,42,3240,2492,7732,2017,201704,False,4847.0,0.20115535382710956,0.6268753233316089
495,DABUR,Mar 2018,176.0,5530,938,2058,8702,2028,42,3805,2827,8702,2018,201804,False,5706.0,0.16438836312653346,0.6557113307285681
496,DABUR,Mar 2019,177.0,5455,699,2106,8437,1969,64,3359,3045,8437,2019,201904,False,5632.0,0.12411221590909091,0.6675358539765319
497,DABUR,Mar 2020,177.0,6429,522,2209,9337,2253,147,2800,4137,9337,2020,202004,False,6606.0,0.07901907356948229,0.7075077648066831
498,DABUR,Mar 2021,177.0,7487,509,2661,10833,2243,147,4160,4283,10833,2021,202104,False,7664.0,0.06641440501043841,0.7074679220899105
499,DABUR,Mar 2022,177.0,8205,1030,2872,12284,2308,168,6220,3589,12284,2022,202204,False,8382.0,0.12288236697685516,0.6823510257245197
500,DABUR,Mar 2023,177.0,8796,1174,3505,13652,3579,175,6265,3633,13652,2023,202304,False,8973.0,0.13083695531037556,0.6572663346029886
501,DABUR,Mar 2024,177.0,9689,1365,3885,15116,3815,232,6933,4136,15116,2024,202404,False,9866.0,0.13835394283397526,0.6526858957396137
502,DABUR,Sep 2024,177.0,10185,1752,4259,16373,3874,190,7599,4710,16373,2024,202410,False,10362.0,0.1690793283149971,0.6328711903743969
503,DIVISLAB,Mar 2013,27.0,2474,33,605,3139,909,303,408,1519,3139,2013,201304,False,2501.0,0.013194722111155539,0.7967505575023893
504,DIVISLAB,Mar 2014,27.0,2937,18,729,3710,1222,144,502,1842,3710,2014,201404,False,2964.0,0.006072874493927126,0.798921832884097
505,DIVISLAB,Mar 2015,27.0,3469,27,883,4405,1309,218,733,2145,4405,2015,201504,False,3496.0,0.007723112128146453,0.7936435868331442
506,DIVISLAB,Mar 2016,53.0,4240,42,562,4898,1439,264,803,2392,4898,2016,201604,False,4293.0,0.009783368273934312,0.8764801959983667
507,DIVISLAB,Mar 2017,53.0,5304,36,762,6155,1559,444,1631,2521,6155,2017,201704,False,5357.0,0.006720179204778794,0.8703493095044679
508,DIVISLAB,Mar 2018,53.0,5872,63,797,6785,1996,120,1889,2780,6785,2018,201804,False,5925.0,0.010632911392405063,0.8732498157700811
509,DIVISLAB,Mar 2019,53.0,6904,106,973,8036,2088,492,1946,3511,8036,2019,201904,False,6957.0,0.015236452493891045,0.865729218516675
510,DIVISLAB,Mar 2020,53.0,7257,39,1183,8531,2782,920,971,3858,8531,2020,202004,False,7310.0,0.00533515731874145,0.8568749267377799
511,DIVISLAB,Mar 2021,53.0,9242,5,1471,10771,3704,711,0,6356,10771,2021,202104,False,9295.0,0.0005379236148466917,0.8629653699749327
512,DIVISLAB,Mar 2022,53.0,11675,4,1628,13360,4325,470,72,8493,13360,2022,202204,False,11728.0,0.00034106412005457026,0.8778443113772455
513,DIVISLAB,Mar 2023,53.0,12714,4,1654,14425,4722,212,77,9414,14425,2023,202304,False,12767.0,0.0003133077465340331,0.8850606585788562
514,DIVISLAB,Mar 2024,53.0,13518,3,1886,15460,4739,778,82,9861,15460,2024,202404,False,13571.0,0.0002210596124088129,0.8778137128072445
